,notebook_name,notebook_brand,notebook_model,product_code,price,currency,cpu_brand,cpu_gen,cpu_tech,cpu_no,cpu_speed,cpu_cores,ram_capacity,ram_type,ram_speed,monitor_size,monitor_hz,monitor_resolution,monitor_type,gpu_brand,gpu_chipset,disc_capacity,disc_type,os,weight
10,"
Lenovo Yoga Slim 6 Oled Evo 12.Nesil Core i5 1240P-8Gb-512Gb Ssd-14inc-W11
",LENOVO,Yoga Slim 6 Evo,82WU006YTX,26.999,TL,Intel,12. Nesil,Core i5,1240P,Turbo Boost 4.4 GHz,12,8 GB,DDR5,4800 MHz,14 inch,60 Hz,1920 x 1200,WUXGA,Intel,Intel® Iris Xe Graphics,512 GB,NVMe SSD,Windows 11 Home 64,1.35 Kg.
11,"
Lenovo Ideapad Slim 3 12.Nesil Core i5 12450H-8Gb-512Gb Ssd-15.6inc-W11
",LENOVO,Ideapad Slim 3,83ER00A9TR,18.999,TL,Intel,12. Nesil,Core i5,12450H,Turbo Boost 4.4 GHz,8,8 GB,DDR5,4800 MHz,15.6 inch,None,1920 x 1080,TN ,Intel,Intel UHD Graphics,512 GB,NVMe SSD,Windows 11 Home 64,1.62 Kg.
12,"
Msi Thin GF63 12.Nesil Core i7 12650H-RTX4060 8GB-16GB-512Gb Ssd-15.6inc-W11
",MSI,Msi Thin GF63 12.Nesil Core i7 Notebook,THIN GF63 12VF-632TR,43.499,TL,Intel,12. Nesil,Core i7,12650H,Turbo Boost 4.7 GHz,10,16 GB (2x8GB),DDR4,3200 MHz,15.6 inch,144 Hz,1920 x 1080,Full HD,NVIDIA,RTX 4060,512 GB,NVMe SSD,Windows 11 Home 64,1.86 Kg.
13,"
Huawei Matebook D15 11.Nesil Core i5 1155G7-8Gb-512Gb Ssd-15.6inc-W11
",HUAWEI,53013PNP,53013PNP,17.999,TL,Intel,11. Nesil,Core i5,1155G7,2.5 GHz Turbo Boost 4.5 GHz,4,8 GB,LPDDR4X,None,15.6 inch,None,1920 x 1080,IPS,Intel,Intel® Iris Xe Graphics,512 GB,SSD,Windows 11 Home 64,1.56 Kg.
14,"
Msi Thin Gf63 12.Nesil Core i5 12450H-RTX3050 4Gb-16Gb-512Gb Ssd-15.6inc-W11
",MSI,Thin Gf63,THIN GF63 12UC-673TR,28.999,TL,Intel,12. Nesil,Core i5,12450H,Turbo Boost 4.4 GHz,8,16 GB (2x8GB),DDR4,3200 MHz,15.6 inch,144 Hz,1920 x 1080,Full HD,NVIDIA,RTX 3050,512 GB,NVMe SSD,Windows 11 Home 64,1.86 Kg.
15,"
Acer Nitro 16 7.Nesil Ryzen 7 7840HS-RTX4070 8Gb-16Gb-512Ssd-16inc-FreeDos
",ACER,Nitro 16,AN16-41-R1PR,54.117,TL,AMD,AMD Ryzen 7.Nesil,Ryzen™ 7,7840HS,Turbo Boost 5.1 GHz,8,16 GB,DDR5,None,16 inch,None,2560 x 1600,IPS,NVIDIA,RTX 4070,512 GB,SSD,FreeDOS,2.70 Kg.
16,"
Huawei Matebook D16 12.Nesil Core i5 12450H-8Gb-512Gb Ssd-16inc-W11
",HUAWEI,Matebook D16,53013WWX,21.999,TL,Intel,Intel 12.Nesil,Core i5,12450H,Turbo Boost 4.4 GHz,8,8 GB,LPDDR4X,None,16 inch,None,1920 x 1200,IPS,Intel,Intel UHD Graphics,512 GB,SSD,Windows 11 Home 64,1.7 Kg.
17,"
Huawei Matebook D14 13.Nesil Core i5 13420H-16Gb-512Gb Ssd-14inc-W11
",HUAWEI,Matebook D14,53013YAT,24.999,TL,Intel,13. Nesil,Core i5,13420H,Turbo Boost 4.6 GHz,8,16 GB,LPDDR4X,None,14 inch,None,1920 x 1200,IPS,Intel,Intel UHD Graphics,512 GB,NVMe SSD,Windows 11 Home 64,1.39 Kg.
18,"
Lenovo Ideapad 1 Celeron N4020-4Gb-128Gb Ssd-15.6inc-W11
",LENOVO,Ideapad 1,82V700A9TX,8.499,TL,Intel,None,Celeron,N4020,1.1 GHz Turbo Boost 2.8 GHz,2,4 GB,DDR4,2400 MHz,15.6 inch,None,1366 x 768,Anti-Glare,Intel,Intel UHD Graphics 600,128 GB,NVMe SSD,Windows 11 Home 64,1.54 Kg.
19,"
Asus Tuf Gaming A15 7.Nesil Ryzen 7 7735HS-RTX4060 8Gb-8Gb-512Gb Ssd-15.6inc-W11
",ASUS,Tuf Gaming A15,FA507NV-LP019W-Gaming,43.211,TL,AMD,7. Nesil,Ryzen™ 7,7735HS,Turbo Boost 4.7 GHz,8,8 GB,DDR5,4800 MHz,15.6 inch,144 Hz,1920 x 1080,Anti-Glare,NVIDIA,RTX 4060,512 GB,NVMe SSD,Windows 11 Home 64,2.2 Kg.
